probe,arch,layer,domain,aggregation,n,auroc,tpr@1%fpr,tpr@5%fpr,threshold,TP,TN,FP,FN
svm_rbf/L40,svm_rbf,40,social,mean,147,0.9426,0.6338,0.7746,0.3471,63,69,7,8
svm_rbf/L35,svm_rbf,35,social,mean,147,0.9388,0.5493,0.7183,0.4042,60,68,8,11
mlp/L26,mlp,26,social,threshold_05,147,0.9317,0.4225,0.7183,0.1658,60,69,7,11
mlp/L26,mlp,26,social,mean,147,0.9314,0.4085,0.7746,0.1744,59,71,5,12
mlp/L26,mlp,26,social,top10_mean,147,0.9255,0.3239,0.662,0.9962,62,64,12,9
mlp/L35,mlp,35,social,mean,147,0.9212,0.4366,0.7042,0.184,57,69,7,14
logreg/L22,logreg,22,social,top10_mean,147,0.9185,0.2113,0.6761,0.9948,62,62,14,9
logreg/L26,logreg,26,social,mean,147,0.9131,0.3521,0.662,0.1525,65,60,16,6
mlp/L22,mlp,22,social,top10_mean,147,0.9127,0.493,0.6197,0.9991,58,67,9,13
svm_rbf/L40,svm_rbf,40,economy,mean,132,0.9104,0.2982,0.5789,0.3547,49,66,9,8
logreg/L26,logreg,26,social,top10_mean,147,0.9101,0.338,0.5493,0.9909,65,59,17,6
logreg/L26,logreg,26,social,threshold_05,147,0.9096,0.338,0.6056,0.1677,61,64,12,10
svm_rbf/L40,svm_rbf,40,healthcare,mean,157,0.9049,0.4717,0.6226,0.3503,43,89,15,10
mlp/L35,mlp,35,social,threshold_05,147,0.9036,0.507,0.6479,0.1711,54,67,9,17
svm_rbf/L40,svm_rbf,40,healthcare,top10_mean,157,0.9029,0.2264,0.4528,0.4194,48,83,21,5
mlp/L26,mlp,26,social,top5_mean,147,0.9013,0.0,0.5634,0.9997,60,62,14,11
logreg/L27,logreg,27,social,top10_mean,147,0.9007,0.2394,0.6338,0.938,57,66,10,14
logreg/L22,logreg,22,social,top5_mean,147,0.8981,0.1831,0.5493,0.9984,65,55,21,6
svm_rbf/L40,svm_rbf,40,economy,mean_pooled,746,0.8981,0.2909,0.6364,0.3502,264,357,59,66
svm_rbf/L40,svm_rbf,40,education,mean_pooled,746,0.8981,0.2909,0.6364,0.3502,264,357,59,66
svm_rbf/L40,svm_rbf,40,entertainment,mean_pooled,746,0.8981,0.2909,0.6364,0.3502,264,357,59,66
svm_rbf/L40,svm_rbf,40,healthcare,mean_pooled,746,0.8981,0.2909,0.6364,0.3502,264,357,59,66
svm_rbf/L40,svm_rbf,40,social,mean_pooled,746,0.8981,0.2909,0.6364,0.3502,264,357,59,66
logreg/L25,logreg,25,healthcare,top10_mean,157,0.8971,0.3585,0.5849,0.995,45,83,21,8
mlp/L22,mlp,22,social,top5_mean,147,0.8935,0.3239,0.5915,0.9998,56,65,11,15
logreg/L24,logreg,24,social,top10_mean,147,0.8934,0.2817,0.5915,0.9912,49,70,6,22
logreg/L25,logreg,25,healthcare,threshold_05,157,0.8931,0.566,0.6604,0.1272,46,80,24,7
logreg/L25,logreg,25,healthcare,top5_mean,157,0.8928,0.3774,0.5472,0.9976,48,75,29,5
logreg/L25,logreg,25,social,top10_mean,147,0.892,0.1972,0.4789,0.9867,57,62,14,14
svm_rbf/L45,svm_rbf,45,healthcare,top10_mean,157,0.8904,0.1321,0.5283,0.4191,45,87,17,8
svm_rbf/L35,svm_rbf,35,economy,mean,132,0.8898,0.2105,0.614,0.4027,49,63,12,8
logreg/L27,logreg,27,social,threshold_05,147,0.8896,0.4085,0.6901,0.1061,54,72,4,17
logreg/L23,logreg,23,social,top10_mean,147,0.8892,0.1831,0.6197,0.9907,56,67,9,15
logreg/L25,logreg,25,healthcare,mean,157,0.8892,0.5472,0.6415,0.1393,44,83,21,9
svm_rbf/L45,svm_rbf,45,healthcare,mean,157,0.889,0.2642,0.5283,0.3362,48,81,23,5
logreg/L22,logreg,22,social,threshold_05,147,0.8889,0.0986,0.6197,0.2083,59,62,14,12
logreg/L22,logreg,22,social,mean,147,0.8881,0.0845,0.5211,0.2237,58,64,12,13
logreg/L27,logreg,27,social,mean,147,0.8881,0.3662,0.6338,0.1146,54,71,5,17
mlp/L30,mlp,30,social,top10_mean,147,0.8873,0.4085,0.662,0.5765,56,69,7,15
svm_rbf/L70,svm_rbf,70,social,top10_mean,147,0.8864,0.1127,0.5915,0.4361,59,63,13,12
svm_rbf/L45,svm_rbf,45,healthcare,top5_mean,157,0.8857,0.1321,0.6415,0.4321,46,87,17,7
logreg/L35,logreg,35,social,mean,147,0.8853,0.338,0.5493,0.0665,59,61,15,12
logreg/L31,logreg,31,healthcare,mean,157,0.8843,0.3208,0.5472,0.0213,43,86,18,10
svm_rbf/L40,svm_rbf,40,healthcare,top5_mean,157,0.8837,0.1698,0.3019,0.4348,43,86,18,10
logreg/L32,logreg,32,healthcare,mean,157,0.8832,0.3019,0.434,0.0182,48,76,28,5
logreg/L21,logreg,21,social,top10_mean,147,0.8821,0.1831,0.4789,0.9993,53,68,8,18
logreg/L27,logreg,27,social,top5_mean,147,0.8816,0.169,0.5352,0.9579,62,59,17,9
